Name,logfc,avgexp,pointsize,adjpval,Original Color,Original Hovinfo,Original Opaq,UpColor_2500vTn1phoAT,UpHovinfo_2500vTn1phoAT,UpOpaq_2500vTn1phoAT,UpColor_2500vTn1phoATcomp,UpHovinfo_2500vTn1phoATcomp,UpOpaq_2500vTn1phoATcomp,UpColor_2500vTn1phoATrevert,UpHovinfo_2500vTn1phoATrevert,UpOpaq_2500vTn1phoATrevert,UpColor_2500vTn15,UpHovinfo_2500vTn15,UpOpaq_2500vTn15,UpColor_2500vTn17lppzplppz,UpHovinfo_2500vTn17lppzplppz,UpOpaq_2500vTn17lppzplppz,UpColor_2500vTn17lppz,UpHovinfo_2500vTn17lppz,UpOpaq_2500vTn17lppz,UpColor_2500vTn19pykppyk,UpHovinfo_2500vTn19pykppyk,UpOpaq_2500vTn19pykppyk,UpColor_2500vTn19pyk,UpHovinfo_2500vTn19pyk,UpOpaq_2500vTn19pyk,DownColor_2500vTn1phoAT,DownHovinfo_2500vTn1phoAT,DownOpaq_2500vTn1phoAT,DownColor_2500vTn1phoATcomp,DownHovinfo_2500vTn1phoATcomp,DownOpaq_2500vTn1phoATcomp,DownColor_2500vTn1phoATrevert,DownHovinfo_2500vTn1phoATrevert,DownOpaq_2500vTn1phoATrevert,DownColor_2500vTn15,DownHovinfo_2500vTn15,DownOpaq_2500vTn15,DownColor_2500vTn17lppzplppz,DownHovinfo_2500vTn17lppzplppz,DownOpaq_2500vTn17lppzplppz,DownColor_2500vTn17lppz,DownHovinfo_2500vTn17lppz,DownOpaq_2500vTn17lppz,DownColor_2500vTn19pykppyk,DownHovinfo_2500vTn19pykppyk,DownOpaq_2500vTn19pykppyk,DownColor_2500vTn19pyk,DownHovinfo_2500vTn19pyk,DownOpaq_2500vTn19pyk
aceE<br><b><br></b>,-0.233132601849306,9.04322494800675,2,0.073664241740525,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4
acs<br><b><br></b>,0.507037876340166,6.78794294572856,2,0.005811563331821,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4
alaS<br><b><br></b>,-0.608895759920944,9.30177517651206,2,0.00019892945554,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4
ald<br><b><br></b>,-0.280058270992217,6.12449368142101,2,0.127078203513374,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4
arc<br><b><br></b>,-0.175241335616297,12.6483355404647,2,0.111452675018671,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4
arcA<br><b><br></b>,-0.098500777128603,5.19777199720319,2,0.68972590020413,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4
argB<br><b><br></b>,-0.126693812319243,5.28769282566864,2,0.647491786067968,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4
argF<br><b><br></b>,0.456720738144708,5.78231635539016,2,0.055605870763427,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4
argH<br><b><br></b>,0.54930439157187,7.36837786016431,2,0.008276180492659,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4
argJ<br><b><br></b>,-0.391034212126465,5.71095659920612,2,0.055828082893717,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4,black,none,0.4
