name,logfc,adjpval,avgexp,color,location,hovinfo,pointsize,opaq
yneM,6.00967792017892,1.74429532121931E-08,9.15557890274019,gray,0,none,5,0.4
bssS,7.10649785085674,2.00836587885275E-08,10.2410042693356,lightpink,0,none,8.49857807077804,0.4
phoH,3.44340033495177,5.68150914561772E-08,9.79092359905363,lightpink,0,none,7.03703830821214,0.4
cpxP,4.87604815421643,9.91194194748643E-08,10.1145522629512,lightpink,0,none,8.05858460531229,0.4
gatZ,-3.33908290307351,1.37017894979906E-07,11.1498139970866,lightblue,0,none,12.492572257396,0.4
ydeH,4.52720004713684,3.20681704492E-07,7.26768074326826,gray,0,none,2.51152221925479,0.4
rplB,-3.53623100240779,4.58701975932342E-07,9.80370147698781,lightblue,0,none,7.07470306336997,0.4
yibT,6.34372630936773,4.58701975932342E-07,8.40280122492829,lightpink,0,none,3.96828819855638,0.4
gatY,-2.56228102029458,4.90327578158969E-07,10.9242073030493,lightblue,0,none,11.3474288399548,0.4
ompT,2.09153558129332,4.90327578158969E-07,11.1196293629647,lightpink,0,none,12.3326690174284,0.4
rplC,-3.89803530212092,5.65730521658188E-07,9.52572581118393,lightblue,0,none,6.30068976908548,0.4
fusA,-2.43444403049728,5.65730521658188E-07,12.2815718766969,lightblue,0,none,20.3346930503106,0.4
mtlR,4.408131595629,6.19752558895463E-07,8.78205621420192,gray,0,none,4.63403496293447,0.4
htpX,3.2064627719716,6.26252519424815E-07,10.6159815208048,lightpink,0,none,9.95605332050572,0.4
fdoG,-2.36556494444243,6.30464691428079E-07,11.4909923909292,lightblue,0,none,14.4566372642426,0.4
gcvP,-3.862003963384,6.48126988570513E-07,9.98513916665577,lightblue,0,none,7.63273560650906,0.4
soxS,5.57972482369212,6.48126988570513E-07,8.02206488885761,lightpink,0,none,3.39992092567598,0.4
hspQ,4.18748427074934,6.6139073694544E-07,9.82387857483726,lightpink,0,none,7.13460575190088,0.4
rpoB,-2.6971855198919,7.87680190706471E-07,10.8559351249116,lightblue,0,none,11.0227621496939,0.4
yncJ,6.10357260660541,6.26252519424815E-07,6.7252692621226,gray,0,none,2.02598821212318,0.4
yjfN,4.12779354172395,8.32335770824171E-07,9.51062554154339,gray,0,none,5,0.4
mgtL,3.58146562308396,8.32335770824171E-07,7.46291244076913,gray,0,none,2.71508246954094,0.4
yqaE,3.67905982738159,9.06625879790512E-07,8.12946796234855,gray,0,none,3.5510519434431,0.4
rpoC,-2.42602255023516,9.02189406900451E-07,11.0466837787664,lightblue,0,none,11.9549303212726,0.4
nuoG,-3.64104792101138,9.59750710866126E-07,9.35221669451055,lightblue,0,none,5.86273607110282,0.4
ompX,2.18993977020993,9.06625879790512E-07,10.9755066459744,lightpink,0,none,11.5978922739278,0.4
bolA,2.5462628122348,9.59750710866126E-07,9.57479465808908,gray,0,none,5,0.4
ypeC,4.70774405704774,9.06625879790512E-07,6.98349626627999,gray,0,none,2.24345937143985,0.4
rpsC,-3.24983985032605,1.16227980235996E-06,9.67736084143638,lightblue,0,none,6.71132230930171,0.4
yicH,2.91177143558339,1.4220770240306E-06,8.30266278794866,lightpink,0,none,3.80976700550589,0.4
rpoA,-3.0342741444233,1.4220770240306E-06,10.7572763603018,lightblue,0,none,10.5705078745932,0.4
rplJ,-3.08246269979352,1.51240650800305E-06,10.1304779057662,lightblue,0,none,8.11267040675646,0.4
yccA,2.14833834633599,1.4220770240306E-06,10.4638760482714,gray,0,none,5,0.4
phoA,3.60960178330938,1.59384952253647E-06,8.71409990071079,gray,0,none,4.50666533646744,0.4
uspG,2.65976104794958,1.60334710641345E-06,9.15046041521428,lightpink,0,none,5.39309451127777,0.4
rpsA,-2.42764234364734,1.51240650800305E-06,11.8872583296568,lightblue,0,none,17.1444920423642,0.4
rpsD,-3.4798936258226,1.80902780094606E-06,9.79391548750801,lightblue,0,none,7.0458386143483,0.4
uspA,2.19638829265927,1.69156066874641E-06,11.1176521775079,lightpink,0,none,12.3222691209833,0.4
fumA,-3.20179626614427,1.96063402844404E-06,9.71225854981986,lightblue,0,none,6.80971058325491,0.4
rplA,-3.59881963378718,1.97317159103348E-06,9.59023644887218,lightblue,0,none,6.47209363494232,0.4
sdhA,-1.97758333594019,1.75738870437284E-06,11.5088073027356,lightblue,0,none,14.5675812595899,0.4
malT,-3.39353382672999,2.03230561752443E-06,8.98162665432019,lightblue,0,none,5.03028465440066,0.4
rplD,-4.4501804227072,2.04642385865118E-06,8.60019844440855,lightblue,0,none,4.30132067226199,0.4
glcF,3.83646530004412,2.39844836339208E-06,7.7838210500291,lightpink,0,none,3.08825192836176,0.4
sucA,-1.96844900064725,2.12436726147058E-06,11.7161365954074,lightblue,0,none,15.9254423409838,0.4
cstA,-2.6540830442285,2.56262275334944E-06,9.67387271787198,gray,0,none,5,0.4
ygdR,2.63930366065698,2.96135825172511E-06,7.56118491226647,lightpink,0,none,2.82404541991814,0.4
gatD,-2.86007266291801,2.96135825172511E-06,9.72468030148796,lightblue,0,none,6.84509286505636,0.4
rplF,-2.83704023756536,2.96135825172511E-06,9.59946873509371,lightblue,0,none,6.4970179532209,0.4
rpsJ,-3.7592939299489,3.06423320752467E-06,8.85976065565148,lightblue,0,none,4.78429615916869,0.4
dadA,-2.02254079354323,2.96005537012749E-06,10.645969756863,lightblue,0,none,10.0832938603638,0.4
eno,-2.12326638259154,2.96135825172511E-06,10.6869341609817,lightblue,0,none,10.2598379298611,0.4
pstA,5.22184924472164,3.13095757537411E-06,7.75628741842027,gray,0,none,3.05421601801381,0.4
rpmI,-2.59966861128685,3.13095757537411E-06,9.50944114307676,lightblue,0,none,6.25817343466339,0.4
nmpC,-3.56095190901583,3.18766749845247E-06,9.36388203815258,gray,0,none,5,0.4
rpsM,-2.92570788906707,3.47818474603808E-06,9.57864158396909,lightblue,0,none,6.44093203346909,0.4
yeaY,3.48251618266548,3.64312476054652E-06,7.00063619400395,lightpink,0,none,2.25873990456156,0.4
rplL,-2.75670699098325,3.73693605964739E-06,9.62610783779352,lightblue,0,none,6.56949699424427,0.4
phoR,4.88644741172443,3.98994176526065E-06,7.31636302005252,gray,0,none,2.5607303406029,0.4
acrA,1.90303047897348,3.66118120765457E-06,9.57587279946266,lightpink,0,none,6.43351396006283,0.4
tomB,3.78306359078745,4.0813536675994E-06,7.59596200982661,gray,0,none,2.8636987521659,0.4
rimM,-3.93822938706525,4.0813536675994E-06,8.92259254724998,lightblue,0,none,4.90951506509827,0.4
psiE,8.03748724888602,2.77797140669065E-06,5.29218108254019,gray,0,none,1.16314519974426,0.4
ybgS,1.96821013026531,4.02076199435814E-06,9.33452198778094,lightpink,0,none,5.81989129953426,0.4
livJ,5.05827673714584,4.0813536675994E-06,6.65812604810303,lightpink,0,none,1.97316895953085,0.4
rplN,-2.35078009033473,4.13361842147225E-06,9.7323086030551,lightblue,0,none,6.86691618559187,0.4
pspC,4.87817027300277,4.11874351254567E-06,6.45554692929671,gray,0,none,1.82244517209911,0.4
aspA,-3.00213763192929,4.13361842147225E-06,10.1511227216521,lightblue,0,none,8.18334512960042,0.4
